entity,identity_candidate,identity_status,catalog_declared,uniqueness_verified,total_count,non_null_rate,distinct_count,duplicate_count,duplicate_groups,relation_join_usage,physical_schema_evidence,strict_query_eligible,same_name_different_ids,owner_decision
sales_order,"[""id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,60000,1.0,60000,0,0,[],"[""PRIMARY""]",False,{},"Business order versus detail-row grain for exact order-entity queries; id is proven only for source rows. order_key is unique in this snapshot and has uk_order, but not assumed universally to identify order detail rows."
project,"[""project_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,138,1.0,138,0,0,"[""sales_order_belongs_to_project"", ""sales_item_association_sales_order""]","[""uk_proj""]",True,{},
sales_company,"[""guoyao_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,1,1.0,1,0,0,"[""china_national_pharmaceuticals_subsidiary_sales_representative"", ""salesperson_belongs_to_sales_company""]","[""uk_gy""]",True,{},
province,"[""province_id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,34,1.0,34,0,0,"[""province_includes_city"", ""hospital_located_in_province""]","[""PRIMARY""]",True,{},
department,"[""dept_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,78,1.0,78,0,0,"[""department_product_applicable_product_department_association""]","[""PRIMARY""]",True,{},
hospital,"[""hospital_id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,139,1.0,139,0,0,"[""sales_order_belongs_to_hospital"", ""hospital_purchase_generation_sales_order""]","[""uk_hosp""]",True,{},
product,"[""product_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,7211,1.0,7211,0,0,"[""product_has_applicable_department_product_department_association"", ""sales_order_belongs_to_product"", ""sales_order_association_product""]","[""uk_prod""]",True,"{""product_name"": 832}",
product_category,"[""category_id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,413,1.0,413,0,0,"[""pharmaceutical_products_affiliation_product_category""]","[""uk_cat""]",True,{},
main_data_domain_ent_manufacturer,"[""manufacturer_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,1286,1.0,1286,0,0,"[""product_belongs_to_manufacturer"", ""manufacturer_production_pharmaceutical_products""]","[""uk_mfr""]",True,"{""manufacturer_name"": 40, ""standard_name"": 149}",
dealer,"[""dealer_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,2154,1.0,2154,0,0,"[""sales_order_belongs_to_dealer"", ""dealer_place_sales_order""]","[""uk_dealer""]",True,{},
product_dept_relation,"[""product_code"", ""dept_code"", ""relation_type""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,47872,1.0,47872,0,0,"[""department_product_applicable_product_department_association"", ""product_has_applicable_department_product_department_association""]","[""uk_product_dept_type""]",True,{},
city,"[""city_id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,396,1.0,396,0,0,"[""dealer_located_in_city"", ""hospital_located_in_city""]","[""PRIMARY""]",True,{},
product_line,"[""product_line_id""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,92,1.0,92,0,0,"[""pharmaceutical_products_affiliation_product_line""]","[""uk_line""]",True,{},
salesperson,"[""salesperson_code""]",PROVISIONAL_VERIFIED_IDENTITY,False,True,89,1.0,89,0,0,"[""sales_order_belongs_to_salesperson"", ""salesperson_responsible_sales_order""]","[""uk_sp""]",True,"{""salesperson_name"": 1}",
