signature_id,failure_signature,failure_ids,source,test_nodeids,historical_case_ids,first_divergence_stage,root_cause_class,severity,status,evidence_need,evidence
d66d459e5938b7c9,RESULT_VALIDATION|QUERY|QUERY|response|additive_option_details,"[""pytest-01""]","[""CURRENT_PYTEST""]","[""tests/test_clarification_flow.py::test_clarification_echoes_normalized_date_and_only_asks_for_metric""]",[],RESULT_VALIDATION,STALE_TEST,P2,STALE_EXPECTATION_RETAINED,[],"[""app/domain/models.py:ClarificationItem"", ""docs/phase0b/independent_runs/failure-01-run-1.json"", ""docs/phase0b/independent_runs/failure-01-run-2.json""]"
b35d04b34c90986a,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,"[""pytest-02"", ""pytest-03"", ""pytest-04"", ""pytest-11"", ""pytest-12"", ""pytest-27""]","[""CURRENT_PYTEST""]","[""tests/test_clarification_flow.py::test_natural_date_reply_completes_the_existing_metric_request"", ""tests/test_clarification_quality.py::test_model_metric_must_be_grounded_in_the_users_words"", ""tests/test_clarification_quality.py::test_only_ambiguities_for_actually_missing_slots_are_kept_and_deduplicated"", ""tests/test_pending_execution_transition.py::test_closed_form_pending_reply_skips_async_intent_model_path"", ""tests/test_pending_execution_transition.py::test_filled_slot_can_transition_to_asl_clarification_then_complete"", ""tests/test_workflow.py::test_workflow_clarify_then_complete""]",[],RULE_PARSE,STALE_TEST,P1,STALE_EXPECTATION_RETAINED,[],"[""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range"", ""docs/phase0b/independent_runs/failure-02-run-1.json"", ""docs/phase0b/independent_runs/failure-02-run-2.json"", ""docs/phase0b/independent_runs/failure-03-run-1.json"", ""docs/phase0b/independent_runs/failure-03-run-2.json"", ""docs/phase0b/independent_runs/failure-04-run-1.json"", ""docs/phase0b/independent_runs/failure-04-run-2.json"", ""docs/phase0b/independent_runs/failure-11-run-1.json"", ""docs/phase0b/independent_runs/failure-11-run-2.json"", ""docs/phase0b/independent_runs/failure-12-run-1.json"", ""docs/phase0b/independent_runs/failure-12-run-2.json"", ""docs/phase0b/independent_runs/failure-27-run-1.json"", ""docs/phase0b/independent_runs/failure-27-run-2.json""]"
b4b3cf546693bb46,RULE_PARSE|QUERY|QUERY|query_subject|structural_text_becomes_product_filter,"[""pytest-05"", ""pytest-06""]","[""CURRENT_PYTEST""]","[""tests/test_clarification_quality.py::test_model_cannot_invent_detail_fields_or_entity_not_in_user_text"", ""tests/test_clarification_quality.py::test_negated_dimension_is_replaced_by_explicit_new_dimension""]",[],RULE_PARSE,REAL_PRODUCTION_BUG,P0,FIXED,[],"[""docs/phase0b/independent_runs/failure-05-run-1.json"", ""docs/phase0b/independent_runs/failure-05-run-2.json"", ""docs/phase0b/independent_runs/failure-06-run-1.json"", ""docs/phase0b/independent_runs/failure-06-run-2.json"", ""tests/test_clarification_quality.py; app/intent/classifier.py""]"
a814ad126303cff9,RULE_PARSE|FORECAST|QUERY|time_range|forecast_history_default_policy,"[""pytest-07""]","[""CURRENT_PYTEST""]","[""tests/test_forecast_readiness.py::test_question_preflight_requests_target_and_history_when_both_missing""]",[],RULE_PARSE,UNKNOWN_NEEDS_EVIDENCE,P1,UNKNOWN_NEEDS_EVIDENCE,"[""Owner must confirm whether an automatic historical window counts as supplied forecast history; parser output alone is not a business contract.""]","[""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range"", ""docs/phase0b/independent_runs/failure-07-run-1.json"", ""docs/phase0b/independent_runs/failure-07-run-2.json""]"
bfb8618e94a24136,SESSION_STATE|QUERY|QUERY|events|events_absent,"[""pytest-08"", ""pytest-24"", ""pytest-26""]","[""CURRENT_PYTEST""]","[""tests/test_memory_manager.py::test_orchestrator_records_memory_write_and_recall_events"", ""tests/test_session_event_log.py::test_orchestrator_records_replayable_request_intent_and_final_events"", ""tests/test_tracing_evaluation.py::test_orchestrator_records_trace_summary_after_final_event""]",[],SESSION_STATE,LEGACY_BEHAVIOR_DEBT,P2,DEFERRED_P2,[],"[""docs/phase0b/independent_runs/failure-08-run-1.json"", ""docs/phase0b/independent_runs/failure-08-run-2.json"", ""docs/phase0b/independent_runs/failure-24-run-1.json"", ""docs/phase0b/independent_runs/failure-24-run-2.json"", ""docs/phase0b/independent_runs/failure-26-run-1.json"", ""docs/phase0b/independent_runs/failure-26-run-2.json"", ""tests/test_memory_manager.py; app/services/orchestrator.py:_append_session_event"", ""tests/test_session_event_log.py"", ""tests/test_tracing_evaluation.py""]"
6f73a67c4be9c777,SESSION_STATE|QUERY|QUERY|identity|fixed_trusted_identity,"[""pytest-09"", ""pytest-10""]","[""CURRENT_PYTEST""]","[""tests/test_openapi_contract.py::test_openapi_marks_always_required_trusted_identity_headers"", ""tests/test_openapi_contract.py::test_openapi_marks_application_header_required_in_production""]",[],SESSION_STATE,REAL_PRODUCTION_BUG,P0,SECURITY_P0_OWNER_BLOCKER,[],"[""app/api.py:trusted_identity; user section 32"", ""app/api.py:trusted_identity; user section 32: register separately, do not refactor"", ""docs/phase0b/independent_runs/failure-09-run-1.json"", ""docs/phase0b/independent_runs/failure-09-run-2.json"", ""docs/phase0b/independent_runs/failure-10-run-1.json"", ""docs/phase0b/independent_runs/failure-10-run-2.json""]"
2b542e44b71c3161,UNKNOWN|QUERY|QUERY|time_range|pending_terminal_call_count,"[""pytest-13""]","[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_terminal_dependency_failure_clears_resolved_pending_state""]",[],UNKNOWN,UNKNOWN_NEEDS_EVIDENCE,P1,UNKNOWN_NEEDS_EVIDENCE,"[""Pending-transition test starts from obsolete missing-period setup; terminal-call count needs isolated state replay before assigning the downstream cause.""]","[""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range"", ""docs/phase0b/independent_runs/failure-13-run-1.json"", ""docs/phase0b/independent_runs/failure-13-run-2.json""]"
5a4268b48e5c2d18,UNKNOWN|QUERY|QUERY|time_range|pending_metric_negation_fixture,"[""pytest-14""]","[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_corrected_pending_request_sends_no_negated_metric_to_retrieval""]",[],UNKNOWN,UNKNOWN_NEEDS_EVIDENCE,P1,UNKNOWN_NEEDS_EVIDENCE,"[""Pending setup and backend ambiguity behavior interact; need an isolated governed candidate fixture before assigning the later negation cause.""]","[""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range"", ""docs/phase0b/independent_runs/failure-14-run-1.json"", ""docs/phase0b/independent_runs/failure-14-run-2.json""]"
758e38083933e9b1,TURN_ADMISSION|QUERY|QUERY|dimensions|correction_loses_context,"[""pytest-15""]","[""CURRENT_PYTEST""]","[""tests/test_pending_execution_transition.py::test_correction_after_completed_turn_replaces_old_dimension""]",[],TURN_ADMISSION,REAL_PRODUCTION_BUG,P0,FIXED,[],"[""docs/phase0b/independent_runs/failure-15-run-1.json"", ""docs/phase0b/independent_runs/failure-15-run-2.json"", ""tests/test_pending_execution_transition.py; current business slot mutation requirement""]"
224717a404640213,RESULT_VALIDATION|QUERY|QUERY|display|governed_display_label,"[""pytest-16""]","[""CURRENT_PYTEST""]","[""tests/test_runtime_regressions.py::test_relationship_wording_does_not_deduplicate_order_facts""]",[],RESULT_VALIDATION,STALE_TEST,P2,STALE_EXPECTATION_RETAINED,[],"[""docs/phase0b/independent_runs/failure-16-run-1.json"", ""docs/phase0b/independent_runs/failure-16-run-2.json"", ""tests/test_runtime_regressions.py:test_query_answer_uses_business_markdown_table_and_hides_physical_prefix""]"
