case_id,corpus,failed_turn_index,expected_operation,recognized_operation,operand_surface,operand_status,target_slot_family,turn_relation,target_task,operation_vs_operand,first_divergence_stage,subcluster_id,risk,before_status,after_status
G81-001,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,ADD,产品线,CANONICAL_SUBJECT_ONLY_NOT_EXPLICIT_PROJECTION,projection_spec,NEW_TASK,task:turn-0,TARGET_SLOT_UNRESOLVED,SEMANTIC_ROLE,OP-R1-ENTITY-PROJECTION,SAFE_REJECT,FAIL,FAIL
G81-003,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,ADD,城市,CANONICAL_SUBJECT_ONLY_NOT_EXPLICIT_PROJECTION,projection_spec,NEW_TASK,task:turn-0,TARGET_SLOT_UNRESOLVED,SEMANTIC_ROLE,OP-R1-ENTITY-PROJECTION,SAFE_REJECT,FAIL,FAIL
G81-008,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,ADD,生产厂家,CANONICAL_SUBJECT_ONLY_NOT_EXPLICIT_PROJECTION,projection_spec,NEW_TASK,task:turn-0,TARGET_SLOT_UNRESOLVED,SEMANTIC_ROLE,OP-R1-ENTITY-PROJECTION,SAFE_REJECT,FAIL,FAIL
G81-009,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-010,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-012,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,ADD,省份,CANONICAL_SUBJECT_ONLY_NOT_EXPLICIT_PROJECTION,projection_spec,NEW_TASK,task:turn-0,TARGET_SLOT_UNRESOLVED,SEMANTIC_ROLE,OP-R1-ENTITY-PROJECTION,SAFE_REJECT,FAIL,FAIL
G81-058,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-059,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-060,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-061,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
G81-066,PUBLIC_DEV,0,INITIALIZE_SUBJECT_WITH_GOVERNED_DISPLAY,SET,市名单,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,MENTION_BOUNDARY,OP-R1-MERGED-BOUNDARY,SAFE_REJECT,FAIL,FAIL
PV81-010,DEV_PROMOTED_FROM_PRIVATE,0,INITIALIZE_METRIC,ADD,汇总值,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
PV81-016,DEV_PROMOTED_FROM_PRIVATE,0,INITIALIZE_METRIC,ADD,汇总值,NO_VALID_PROJECTION_OPERAND,projection_spec,NEW_TASK,task:turn-0,OPERAND_UNRESOLVED,SEMANTIC_ROLE,OP-R1-PRESENTATION-CUE,SAFE_REJECT,FAIL,FAIL
