capability,status,blocking_level,blocker_ids,evidence,next_action,status_scope
Turn Resolution,FAIL,P0,"[""V-01""]","[""app/semantic_v2/pipeline.py::CurrentTurnParser/TurnResolver"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts.,PRODUCTION_REPLACEMENT_ACCEPTANCE
TaskPatch,BLOCKED,P0,"[""V-01"", ""V-02""]","[""app/semantic_v2/slot_reducer.py; deterministic supplied-patch tests pass"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Ordered path/occurrence source acceptance and 250 actual-catalog typed walks: docs/cutover/v2_relation_paths/closure_report.md"", ""Typed temporal dependency/period-output acceptance: docs/cutover/v2_temporal_comparisons/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Integrate the autonomous recognition path through ScopedPlanSession; retain current-request and state isolation guards. Runtime adoption remains gated by catalog/evaluation/shadow evidence.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Pending,BLOCKED,P0,"[""V-01"", ""V-02"", ""E-01""]","[""app/semantic_v2/state_machine.py; scoped synthetic Pending tests; Legacy critical 160/160"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Governed canonical-option raw V2 clarification/resume and previous-state first-ask trace pass offline: docs/cutover/v2_pending/closure_report.md; real-model/full decision coverage not yet accepted"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Typed temporal dependency/period-output acceptance: docs/cutover/v2_temporal_comparisons/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Integrate the autonomous recognition path through ScopedPlanSession; retain current-request and state isolation guards. Runtime adoption remains gated by catalog/evaluation/shadow evidence. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Historical Recall,BLOCKED,P0,"[""V-01"", ""V-02"", ""E-01""]","[""app/semantic_v2/pipeline.py::TurnResolver requires historical_task_id; tests/test_task_recall_contract.py covers Legacy"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Integrate the autonomous recognition path through ScopedPlanSession; retain current-request and state isolation guards. Runtime adoption remains gated by catalog/evaluation/shadow evidence. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
ADD,BLOCKED,P0,"[""V-01"", ""E-01""]","[""app/semantic_v2/slot_reducer.py; supplied operations pass, natural-language V2 accuracy not measured"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
REPLACE,BLOCKED,P0,"[""V-01"", ""E-01""]","[""app/semantic_v2/slot_reducer.py; supplied operations pass, natural-language V2 accuracy not measured"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
REMOVE,BLOCKED,P0,"[""V-01"", ""E-01""]","[""app/semantic_v2/slot_reducer.py; supplied operations pass, natural-language V2 accuracy not measured"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
CLEAR,BLOCKED,P0,"[""V-01"", ""E-01""]","[""app/semantic_v2/slot_reducer.py; supplied operations pass, natural-language V2 accuracy not measured"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Raw V2 subtree/membership and partial-time edits pass offline; exact task/version handles and scalar/grain conflict guard: docs/cutover/v2_slot_edits/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Semantic Role,BLOCKED,P0,"[""V-01"", ""C-04"", ""E-01""]","[""app/semantic_v2/models.py::Mention/SemanticCandidate; no live role benchmark"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Current source mapping capture and offline value read/acceptance: docs/cutover/v2_entity_value_sources/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts. Continue frozen-catalog evaluation. Validate actual entity-value lookup and result behavior for cases that require source values; do not block unrelated axes. Expand full V1/V2 state/result labels and holdout evidence independently of production recovery/publication; preserve per-axis denominators and missing predictions as failures.,PRODUCTION_REPLACEMENT_ACCEPTANCE
Canonical Binding,BLOCKED,P0,"[""C-03"", ""C-04"", ""V-01""]","[""B-01 source fix; V2 bound refs still supplied by fixtures"", ""Raw-input HTTP/mock transport, pinned candidate, reducer and common payload integration: docs/cutover/v2_recognition/closure_report.md; actual model quality/full semantic coverage still unproven"", ""Actual 81/[205] display/declared relationship facts and local typed plan acceptance: docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""Ordered path/occurrence source acceptance and 250 actual-catalog typed walks: docs/cutover/v2_relation_paths/closure_report.md"", ""Current source mapping capture and offline value read/acceptance: docs/cutover/v2_entity_value_sources/closure_report.md"", ""Raw source-value/Pending/current restore offline evidence: docs/cutover/v2_source_value_binding/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""Stage-specific eligibility: docs/cutover/evaluation_gates/gate_matrix.json""]",Use the reviewed provisional identities per eligible shape; keep exact order/entity grain and unresolved relation paths scoped to affected cases. Continue independent role/mention/turn evaluation. Continue frozen-catalog evaluation. Validate actual entity-value lookup and result behavior for cases that require source values; do not block unrelated axes. Investigate current-turn spans/reference validation and list-versus-relation semantics using the new measured failure cases; keep Gold labels fixed and test contrasts.,PRODUCTION_REPLACEMENT_ACCEPTANCE
