service,nodeid,prior_failure_id,classification,blocking_level,status,evidence,next_action
DataAnalysis_Agent,tests/test_clarification_flow.py::test_clarification_echoes_normalized_date_and_only_asks_for_metric,pytest-01,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md#pytest-01"", ""Committed ClarificationItem.option_details is additive; the old assertion compares an exact dictionary without this field""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_clarification_flow.py::test_natural_date_reply_completes_the_existing_metric_request,pytest-02,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_clarification_quality.py::test_only_ambiguities_for_actually_missing_slots_are_kept_and_deduplicated,pytest-03,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_clarification_quality.py::test_model_metric_must_be_grounded_in_the_users_words,pytest-04,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_forecast_readiness.py::test_question_preflight_requests_target_and_history_when_both_missing,pytest-07,EVALUATION_GAP,P1,OPEN,"[""Forecast history requirement: fixture expects target plus history; current preflight has a different required-slot policy"", ""app/semantic_v2/models.py::SnapshotContext/ResultContract; docs/phase0b/failure_universe.json"", ""No acceptance label inferred; this is a known policy-evidence gap, not proof the current behavior is correct""]",Resolve declared forecast/history/report/partial-result policy during grounded Gold labeling; retain failing expectation and block relevant acceptance until the label is authoritative.
DataAnalysis_Agent,tests/test_memory_manager.py::test_orchestrator_records_memory_write_and_recall_events,pytest-08,NON_BLOCKING_LEGACY_FAILURE,NONE,BACKLOG,"[""Legacy memory/event-log wrapper assertions; V2 comparison needs its own stage trace, tracked by H-01""]",Keep in backlog; do not rebuild Legacy memory/event collection for numeric cleanup.
DataAnalysis_Agent,tests/test_pending_execution_transition.py::test_closed_form_pending_reply_skips_async_intent_model_path,pytest-11,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_pending_execution_transition.py::test_filled_slot_can_transition_to_asl_clarification_then_complete,pytest-12,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_pending_execution_transition.py::test_terminal_dependency_failure_clears_resolved_pending_state,pytest-13,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification"", ""docs/cutover/closure_report.md: Newly resolved stale Pending fixtures; no assertion is changed""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_pending_execution_transition.py::test_corrected_pending_request_sends_no_negated_metric_to_retrieval,pytest-14,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification"", ""docs/cutover/closure_report.md: Newly resolved stale Pending fixtures; no assertion is changed""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_runtime_regressions.py::test_relationship_wording_does_not_deduplicate_order_facts,pytest-16,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md#pytest-16"", ""Governed business label is 商品名称; both duplicate order rows remain present; only the old header assertion differs""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_explicit_day_range_resolves_report_time_without_model_reinterpretation,pytest-17,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[False],pytest-18,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[True],pytest-19,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\u4f60\u597d-CHAT-COMPLETED],pytest-20,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\u53d6\u6d88-REPORT_GENERATION-CANCELLED],pytest-21,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
DataAnalysis_Agent,tests/test_semantic_clarification_session_recovery.py::test_semantic_clarification_keeps_explicit_interrupt_semantics[\u6362\u4e2a\u95ee\u9898\uff0c\u67e5\u8be2\u672c\u6708\u9500\u552e\u989d-METRIC_QUERY-COMPLETED],pytest-22,STALE_TEST,NONE,EXPECTATION_RETAINED,"[""docs/phase0b/stale_test_decisions.md"", ""tests/test_orchestrator.py::test_unqualified_sales_metric_uses_auditable_default_time_range"", ""Default-time policy makes an unqualified metric request execute immediately; the old Pending fixture assumes a mandatory time clarification""]",Do not alter runtime or old assertions for the failure count; migrate fixture only when needed by evaluator.
