stage,case_count,case_ids,severity,cutover_blocker,one_generic_fix_coverage_upper_bound,independent_root_count,classification
TASK_OPERATION,21,"[""G81-001"", ""G81-003"", ""G81-008"", ""G81-009"", ""G81-010"", ""G81-012"", ""G81-040"", ""G81-058"", ""G81-059"", ""G81-060"", ""G81-061"", ""G81-066"", ""G81-070"", ""G81-075"", ""G81-078"", ""G81-092"", ""G81-093"", ""G81-096"", ""S81-012"", ""PV81-010"", ""PV81-016""]",P1,True,21,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
TURN_RESOLUTION,15,"[""G81-082"", ""S81-002"", ""PV81-002"", ""PV81-003"", ""PV81-005"", ""PV81-006"", ""PV81-008"", ""PV81-011"", ""PV81-012"", ""PV81-014"", ""PV81-015"", ""PV81-017"", ""PV81-018"", ""PV81-020"", ""PV81-023""]",P1,True,15,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
ENTITY_VALUE_GROUNDING,14,"[""G81-068"", ""G81-069"", ""G81-074"", ""G81-080"", ""G81-087"", ""S81-004"", ""S81-005"", ""S81-006"", ""S81-007"", ""S81-008"", ""S81-009"", ""S81-010"", ""S81-015"", ""S81-016""]",P1,True,14,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
MENTION_BOUNDARY,13,"[""G81-002"", ""G81-004"", ""G81-005"", ""G81-006"", ""G81-011"", ""G81-013"", ""G81-029"", ""G81-030"", ""G81-033"", ""G81-034"", ""G81-094"", ""PV81-021"", ""PV81-024""]",P1,True,13,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
SEMANTIC_QUERY_IR,9,"[""G81-053"", ""G81-081"", ""G81-099"", ""PV81-001"", ""PV81-004"", ""PV81-009"", ""PV81-013"", ""PV81-019"", ""PV81-022""]",P1,True,9,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
CATALOG_GAP,6,"[""G81-007"", ""G81-056"", ""G81-062"", ""G81-063"", ""G81-064"", ""G81-065""]",P1,True,6,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
QUERY_SHAPE,6,"[""G81-014"", ""G81-050"", ""G81-051"", ""G81-052"", ""G81-057"", ""G81-085""]",P1,True,6,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
CANONICAL_BINDING,3,"[""G81-054"", ""G81-055"", ""G81-098""]",P1,True,3,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
EXTERNAL_BLOCKER,3,"[""G81-067"", ""G81-071"", ""G81-073""]",P1,True,3,NOT_PROVEN_BY_STAGE_COUNT,EVALUATION_OR_EXTERNAL_GAP
FIXTURE_GAP,3,"[""G81-076"", ""G81-088"", ""G81-091""]",P1,True,3,NOT_PROVEN_BY_STAGE_COUNT,EVALUATION_OR_EXTERNAL_GAP
IMPLEMENTATION_GAP,3,"[""S81-018"", ""S81-019"", ""S81-020""]",P0_CAPABILITY_SAFETY_COVERAGE,True,3,NOT_PROVEN_BY_STAGE_COUNT,EVALUATION_OR_EXTERNAL_GAP
TIME_NORMALIZATION,2,"[""G81-084"", ""G81-090""]",P1,True,2,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
SEMANTIC_ROLE,1,"[""PV81-007""]",P1,True,1,NOT_PROVEN_BY_STAGE_COUNT,SEMANTIC_CONTRACT_ROOT_CANDIDATE
