signal,source,classification,producer,semantic_purpose,can_veto_model,can_override_model,current_precedence,calibrated_or_heuristic,risk,hard_constraint,soft_evidence
current_parse.acts_refs_followup_shift,recognition.py:266; pipeline.py:25,LLM_SEMANTIC_EVIDENCE,LLM,Current-turn relation hypotheses without task context,False,False,Input to resolver,NOT_CALIBRATED_NOT_SCORED,Contextless model cannot identify historical target,False,True
topic_shift_signals,pipeline.py:113,SOFT_HEURISTIC,Deterministic consumption of LLM field,Select NEW before history/followup,True,True,Highest semantic branch; not authorization,NOT_SCORED,Conflicting model propositions are silently settled by field precedence,False,True
HISTORICAL reference,"recognition.py:153,432; pipeline.py:116",SOFT_HEURISTIC,Deterministic consumption of LLM field,Expose handles and select history branch,True,True,Before active dependency,NOT_SCORED,Circular exposure: first contextless parse controls later choices,False,True
reference/followup/destructive agreement,pipeline.py:108-130,SOFT_HEURISTIC,Deterministic consumption of LLM fields,Attach active task,True,True,After shift/history; else NEW,NOT_SCORED,CONTINUE/MODIFY/CORRECT acts alone do not determine attachment; controlled D oracle demonstrates this limitation,False,True
historical_task_handle membership,recognition.py:305,HARD_CONSTRAINT,Deterministic,Only offered existing task,True,False,Before patch,NOT_SCORED,Valid identity guard; do not remove with exposure policy,True,False
scoped state/plan restore,recognition.py:241; catalog_bridge.py:154,HARD_CONSTRAINT,Deterministic,"Current request scope, identity, plan/task version",True,False,Before first model,NOT_SCORED,Required authority boundary,True,False
Pending exact option,recognition.py:283; pending_recognition.py:47,HIGH_PRECISION_DETERMINISTIC_FACT,Deterministic,Match whole option then resume,True,True,Before second model unless topic shift,NOT_SCORED,Valid option membership alone does not prove user relation; NEW_TASK act without shift can be overridden,False,False
Pending unbound answer,recognition.py:288,SOFT_HEURISTIC,Deterministic consumption of LLM fields,Reject if no NEW/HISTORICAL and no exact option,True,False,Before context-aware draft,NOT_SCORED,"Model sees no Pending summary; failure is system rejection, not genuine ambiguity",False,True
explicit marker/slot consumption,recognition.py:646,HARD_CONSTRAINT,Deterministic,Do not drop asserted current delta,True,False,"After target selection, before TaskPatch compilation",NOT_SCORED,Input assertion may be wrong; removing protection would allow true requests to vanish,True,False
Catalog membership / role,"recognition.py:_hydrate,_check_roles; catalog_bridge.py:122",HARD_CONSTRAINT,Deterministic,Validate scoped canonical candidates,True,False,Hydration and compile,NOT_SCORED,Candidate validity is not semantic relation,True,False
Reducer/current explicit/barriers,slot_reducer.py:166; state_machine.py:apply_state_mutation,HARD_CONSTRAINT,Deterministic,"Apply explicit changes then allowed inheritance, version and barrier rules",True,False,After current patch,NOT_SCORED,No model authority to resurrect or copy a complete task,True,False
transport failure,recognition_client.py:complete,MODEL_FALLBACK,Deterministic,"Bounded RecognitionFailure, no user slot ask",True,False,Stop before state publication,NOT_SCORED,V2 has no equivalent rule-only fallback,False,False
legacy raw admission,services/turn_admission.py:evaluate,LEGACY_RULE,Deterministic,V1 relation before contextual rewrite,True,True,Before V1 structured model,HEURISTIC_SCORE,Keyword/self-contained rules control history exposure; not called by V2 RawTurnPlanner,False,True
legacy model min confidence,intent/structured.py:245; config.py:140,LEGACY_RULE,Deterministic,Discard low-self-reported-confidence structured output,True,True,Before V1 relation reconciliation,HEURISTIC_SCORE 0.80 default,May prevent relation reaching gate; not calibrated; V1 frozen,False,True
legacy relation min confidence,services/turn_admission.py:406-407,LEGACY_RULE,Deterministic,Ignore model relation below 0.75,True,True,Before V1 relation reconciliation,HEURISTIC_SCORE 0.75,"Explicit user-prohibited style exists in V1, not V2",False,True
legacy self-contained veto,services/turn_admission.py:410,LEGACY_RULE,Deterministic,Standalone gate blocks model followup,True,True,Model can only refine limited gate states,NOT_SCORED,MODEL_RELATION_REJECTED_BY_SELF_CONTAINED_GATE is logged; low-score early return lacks full trace,False,True
