failure_id,source,test_nodeids,historical_case_ids,conversation_history,current_utterance,expected_behavior,actual_behavior,affected_business_capability,repeatability,first_divergence_stage,root_cause_class,severity,owning_service,evidence,status,failure_signature,signature_id,baseline_status,baseline_root_cause_class,final_test_outcomes,evidence_need
pytest-01,"[""CURRENT_PYTEST""]","[""tests/test_clarification_flow.py::test_clarification_echoes_normalized_date_and_only_asks_for_metric""]",[],[],分析2026年7月1号到30号的,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert {'allow_free_...ons': [], ...} == {'allow_free_...分析哪个指标？', ...}
E
E         Omitting 6 identical items, use -vv to show
E         Left contains 1 more item:
E         {'option_details': []}
E         Use -v to get more diff",response,DETERMINISTIC,RESULT_VALIDATION,STALE_TEST,P2,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-01-run-1.json"", ""docs/phase0b/independent_runs/failure-01-run-2.json"", ""app/domain/models.py:ClarificationItem""]",STALE_EXPECTATION_RETAINED,RESULT_VALIDATION|QUERY|QUERY|response|additive_option_details,d66d459e5938b7c9,OPEN,STALE_TEST,"{""tests/test_clarification_flow.py::test_clarification_echoes_normalized_date_and_only_asks_for_metric"": ""failed""}",
pytest-02,"[""CURRENT_PYTEST""]","[""tests/test_clarification_flow.py::test_natural_date_reply_completes_the_existing_metric_request""]",[],"[""销售额是多少？""]",2026年7月1号到30号,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert [] == ['time_range']
E
E         Right contains one more item: 'time_range'
E         Use -v to get more diff",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-02-run-1.json"", ""docs/phase0b/independent_runs/failure-02-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_clarification_flow.py::test_natural_date_reply_completes_the_existing_metric_request"": ""failed""}",
pytest-03,"[""CURRENT_PYTEST""]","[""tests/test_clarification_quality.py::test_only_ambiguities_for_actually_missing_slots_are_kept_and_deduplicated""]",[],[],最近支付转化率情况不太对，帮我看看,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert [] == ['time_range']
E
E         Right contains one more item: 'time_range'
E         Use -v to get more diff",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-03-run-1.json"", ""docs/phase0b/independent_runs/failure-03-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_clarification_quality.py::test_only_ambiguities_for_actually_missing_slots_are_kept_and_deduplicated"": ""failed""}",
pytest-04,"[""CURRENT_PYTEST""]","[""tests/test_clarification_quality.py::test_model_metric_must_be_grounded_in_the_users_words""]",[],[],最近业务情况不太对，帮我看看,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert ['metric'] == ['metric', 'time_range']
E
E         Right contains one more item: 'time_range'
E         Use -v to get more diff",time_range,DETERMINISTIC,RULE_PARSE,STALE_TEST,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-04-run-1.json"", ""docs/phase0b/independent_runs/failure-04-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",STALE_EXPECTATION_RETAINED,RULE_PARSE|QUERY|QUERY|time_range|obsolete_mandatory_period,b35d04b34c90986a,OPEN,STALE_TEST,"{""tests/test_clarification_quality.py::test_model_metric_must_be_grounded_in_the_users_words"": ""failed""}",
pytest-05,"[""CURRENT_PYTEST""]","[""tests/test_clarification_quality.py::test_negated_dimension_is_replaced_by_explicit_new_dimension""]",[],"[""查询2026年7月按区域拆分销售额""]",不看区域了，按渠道拆分,Exact assertion and fixture in test_nodeids,"E       assert '区域' not in '查询指标；指标：销售额...6年7月按区域拆分""}]'
E
E         '区域' is contained here:
E           :""2026年7月按区域拆分""}]
E         ?           ++",filters,DETERMINISTIC,RULE_PARSE,REAL_PRODUCTION_BUG,P0,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-05-run-1.json"", ""docs/phase0b/independent_runs/failure-05-run-2.json"", ""tests/test_clarification_quality.py; app/intent/classifier.py""]",FIXED,RULE_PARSE|QUERY|QUERY|query_subject|structural_text_becomes_product_filter,b4b3cf546693bb46,OPEN,REAL_PRODUCTION_BUG,"{""tests/test_clarification_quality.py::test_negated_dimension_is_replaced_by_explicit_new_dimension"": ""passed""}",
pytest-06,"[""CURRENT_PYTEST""]","[""tests/test_clarification_quality.py::test_model_cannot_invent_detail_fields_or_entity_not_in_user_text""]",[],[],查询本月销售额,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert '产品' is None
E        +  where '产品' = CanonicalAnalysisRequest(schema_version='1.0', request_id=UUID('3bc41cee-ecf5-4927-aea4-29ce86f4f990'), conversation_i..._mode='AUTO', confirmed_memory_ids=[], confirmed_preferences=[], dependency_constraints=[], pending_state_version=None).entity",entity,DETERMINISTIC,RULE_PARSE,REAL_PRODUCTION_BUG,P0,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-06-run-1.json"", ""docs/phase0b/independent_runs/failure-06-run-2.json"", ""tests/test_clarification_quality.py; app/intent/classifier.py""]",FIXED,RULE_PARSE|QUERY|QUERY|query_subject|structural_text_becomes_product_filter,b4b3cf546693bb46,OPEN,REAL_PRODUCTION_BUG,"{""tests/test_clarification_quality.py::test_model_cannot_invent_detail_fields_or_entity_not_in_user_text"": ""passed""}",
pytest-07,"[""CURRENT_PYTEST""]","[""tests/test_forecast_readiness.py::test_question_preflight_requests_target_and_history_when_both_missing""]",[],[],预测销售额,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert ['forecast_horizon'] == ['forecast_ho...istory_range']
E
E         Right contains one more item: 'forecast_history_range'
E         Use -v to get more diff",time_range,DETERMINISTIC,RULE_PARSE,UNKNOWN_NEEDS_EVIDENCE,P1,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-07-run-1.json"", ""docs/phase0b/independent_runs/failure-07-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]",UNKNOWN_NEEDS_EVIDENCE,RULE_PARSE|FORECAST|QUERY|time_range|forecast_history_default_policy,a814ad126303cff9,OPEN,STALE_TEST,"{""tests/test_forecast_readiness.py::test_question_preflight_requests_target_and_history_when_both_missing"": ""failed""}",Owner must confirm whether an automatic historical window counts as supplied forecast history; parser output alone is not a business contract.
pytest-08,"[""CURRENT_PYTEST""]","[""tests/test_memory_manager.py::test_orchestrator_records_memory_write_and_recall_events""]",[],[],记住，以后默认使用销售额指标，查询本月销售额,Exact assertion and fixture in test_nodeids,"E       AssertionError: assert <SessionEventType.MEMORY_WRITE: 'MEMORY_WRITE'> in []
E        +  where <SessionEventType.MEMORY_WRITE: 'MEMORY_WRITE'> = SessionEventType.MEMORY_WRITE",events,DETERMINISTIC,SESSION_STATE,LEGACY_BEHAVIOR_DEBT,P2,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-08-run-1.json"", ""docs/phase0b/independent_runs/failure-08-run-2.json"", ""tests/test_memory_manager.py; app/services/orchestrator.py:_append_session_event""]",DEFERRED_P2,SESSION_STATE|QUERY|QUERY|events|events_absent,bfb8618e94a24136,OPEN,LEGACY_BEHAVIOR_DEBT,"{""tests/test_memory_manager.py::test_orchestrator_records_memory_write_and_recall_events"": ""failed""}",
pytest-09,"[""CURRENT_PYTEST""]","[""tests/test_openapi_contract.py::test_openapi_marks_always_required_trusted_identity_headers""]",[],[],,Exact assertion and fixture in test_nodeids,E       KeyError: 'x-tenant-id',identity,DETERMINISTIC,SESSION_STATE,REAL_PRODUCTION_BUG,P0,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-09-run-1.json"", ""docs/phase0b/independent_runs/failure-09-run-2.json"", ""app/api.py:trusted_identity; user section 32: register separately, do not refactor""]",SECURITY_P0_OWNER_BLOCKER,SESSION_STATE|QUERY|QUERY|identity|fixed_trusted_identity,6f73a67c4be9c777,SECURITY_P0_OWNER_BLOCKER,REAL_PRODUCTION_BUG,"{""tests/test_openapi_contract.py::test_openapi_marks_always_required_trusted_identity_headers"": ""failed""}",
pytest-10,"[""CURRENT_PYTEST""]","[""tests/test_openapi_contract.py::test_openapi_marks_application_header_required_in_production""]",[],[],,Exact assertion and fixture in test_nodeids,E       StopIteration,identity,DETERMINISTIC,SESSION_STATE,REAL_PRODUCTION_BUG,P0,DataAnalysis_Agent,"[""docs/phase0b/independent_runs/failure-10-run-1.json"", ""docs/phase0b/independent_runs/failure-10-run-2.json"", ""app/api.py:trusted_identity; user section 32""]",SECURITY_P0_OWNER_BLOCKER,SESSION_STATE|QUERY|QUERY|identity|fixed_trusted_identity,6f73a67c4be9c777,SECURITY_P0_OWNER_BLOCKER,REAL_PRODUCTION_BUG,"{""tests/test_openapi_contract.py::test_openapi_marks_application_header_required_in_production"": ""failed""}",
