payload_type,resolved_query_shape,service_route,required_analysis_goals,allowed_analysis_goals,execution_backend,legacy_adapter_policy
CHAT,CHAT_ONLY,CHAT,,,CHAT_RESPONSE,LOSSLESS
CONTROL,CONTROL_ONLY,CONTROL,,,CONTROL,LOSSLESS
CAPABILITY_HELP,CAPABILITY_HELP,CAPABILITY_HELP,,,CHAT_RESPONSE,LOSSLESS
OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,,,CHAT_RESPONSE,LOSSLESS
SCALAR_AGGREGATE,SCALAR_AGGREGATE,DATA_QUERY,AGGREGATE,AGGREGATE|LOOKUP,SEMANTIC_QUERY,UNSUPPORTED
GROUPED_AGGREGATE,GROUPED_AGGREGATE,DATA_QUERY,AGGREGATE,AGGREGATE|COMPOSITION,SEMANTIC_QUERY,UNSUPPORTED
TIME_SERIES,TIME_SERIES,DATA_QUERY,TREND,TREND,SEMANTIC_QUERY,UNSUPPORTED
RANKING,RANKING,DATA_QUERY,RANK,RANK,SEMANTIC_QUERY,UNSUPPORTED
COMPARISON,COMPARISON_SET,ANALYTICS,COMPARE,COMPARE,ANALYTICS,UNSUPPORTED
RELATION_LIST,RELATION_LIST,DATA_QUERY,LOOKUP,LOOKUP,SEMANTIC_QUERY,UNSUPPORTED
DETAIL_ROWS,DETAIL_ROWS,DATA_QUERY,LOOKUP,LOOKUP,SEMANTIC_QUERY,UNSUPPORTED
DATASET_TRANSFORM,DATASET_TRANSFORM,DATASET_OPERATION,,,DATASET_LOCAL,UNSUPPORTED
METRIC_DEFINITION,METADATA_LOOKUP,METRIC_CATALOG,EXPLAIN,EXPLAIN,SEMANTIC_METADATA,UNSUPPORTED
METADATA,METADATA_LOOKUP,METADATA,,,SEMANTIC_METADATA,UNSUPPORTED
LINEAGE,LINEAGE_GRAPH,LINEAGE,,,SEMANTIC_METADATA,UNSUPPORTED
DATA_QUALITY,QUALITY_CHECK,DATA_QUALITY,,,ANALYTICS,UNSUPPORTED
ANOMALY,ANOMALY_SERIES,ANALYTICS,ANOMALY,ANOMALY,ANALYTICS,UNSUPPORTED
ROOT_CAUSE,ROOT_CAUSE_PIPELINE,ANALYTICS,ROOT_CAUSE,ROOT_CAUSE,ANALYTICS,UNSUPPORTED
FORECAST,FORECAST_SERIES,FORECAST,FORECAST,FORECAST,ANALYTICS,UNSUPPORTED
REPORT_COMPOSITION,REPORT_PIPELINE,REPORTING,,,REPORT_COMPOSITION,UNSUPPORTED
