case_id,failed_labeled_axes,first_divergence_stage,status,evidence,diagnostics,next_action
G81-001,"[""query_shape"", ""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-002,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-004,"[""query_shape"", ""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-005,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-006,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-009,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-013,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-029,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-030,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-060,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-061,"[""mentions""]",RULE_PARSE,UNKNOWN_NEEDS_EXACT_REFERENCE_EVIDENCE,benchmark_final.json and predictions_final.jsonl,"{""invalid_surface_spans"": 0, ""foreign_turn_mentions"": 0, ""duplicate_mention_ids"": 0, ""missing_mention_references"": 1}",Capture the exact rejected reference before repairing; current diagnostics identify one missing mention ID only.
G81-072,"[""turn_relation""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-080,"[""operation""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-082,"[""turn_relation"", ""operation""]",RULE_PARSE,UNKNOWN_NEEDS_EXACT_REFERENCE_EVIDENCE,benchmark_final.json and predictions_final.jsonl,"{""invalid_surface_spans"": 0, ""foreign_turn_mentions"": 0, ""duplicate_mention_ids"": 0, ""missing_mention_references"": 1}",Capture the exact rejected reference before repairing; current diagnostics identify one missing mention ID only.
G81-091,"[""query_shape""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-093,"[""query_shape""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-094,"[""mentions""]",STRUCTURED_INTENT,MEASURED_SEMANTIC_MISMATCH,benchmark_final.json and predictions_final.jsonl,{},Review fixed Gold span/role/shape/operation evidence against captured prediction; do not silently relabel or infer downstream correctness.
G81-096,"[""mentions""]",MODEL_TRANSPORT,EXTERNAL_AUTHENTICATION_FAILURE,benchmark_final.json and predictions_final.jsonl,{},Restore configured provider access through existing local secret configuration; no key is requested in reports.
G81-097,"[""query_shape"", ""mentions""]",MODEL_TRANSPORT,EXTERNAL_AUTHENTICATION_FAILURE,benchmark_final.json and predictions_final.jsonl,{},Restore configured provider access through existing local secret configuration; no key is requested in reports.
G81-098,"[""query_shape"", ""mentions""]",MODEL_TRANSPORT,EXTERNAL_AUTHENTICATION_FAILURE,benchmark_final.json and predictions_final.jsonl,{},Restore configured provider access through existing local secret configuration; no key is requested in reports.
G81-100,"[""query_shape"", ""mentions""]",MODEL_TRANSPORT,EXTERNAL_AUTHENTICATION_FAILURE,benchmark_final.json and predictions_final.jsonl,{},Restore configured provider access through existing local secret configuration; no key is requested in reports.
