metric,status,evidence_limit
DialogueAct Accuracy,PARTIAL,Current turn-relation axes collapse follow-up/modification/correction; no complete dialogue-act labels.
TargetTask Accuracy,PARTIAL,20-transition corpus labels prior/new/history handles; actual V1 historical selector not executed.
WrongInheritance Rate,NOT_EVALUATED,17 state transitions require observations; partial state mismatches are not silently converted to a full-pipeline safety rate.
PendingHijack Rate,PARTIAL,One actual admission guard observation; no full orchestrator/model pending corpus acceptance.
ADD / REPLACE / REMOVE / CLEAR Accuracy,PARTIAL,Affected-slot operation labels and state contrasts; exact per-operation denominators in operation_scores.json; no full TaskPatch score.
TaskPatch Accuracy,NOT_EVALUATED,"Full patches, barriers and all unrelated slots are not exhaustively labeled."
Mention F1,NOT_EVALUATED,Existing 100-case corpus has selected critical mentions; exhaustive precision labels remain missing.
SemanticRole Accuracy,PARTIAL,PR39 component role recall/purity measured; not full canonical grounded roles.
CanonicalBinding Accuracy,NOT_EVALUATED,"One canonical metric set labeled; V1 rules do not perform grounding. V2 adapter integration controls are synthetic, not the frozen 81/205 benchmark."
UnnecessaryClarification Rate,NOT_EVALUATED,No accepted full trace-labeled corpus; a missing metric slot is not a public question.
RequiredClarification Recall,NOT_EVALUATED,V2 ASK/ANSWER adapter controls pass; required decision labels on real full-pipeline cases remain open.
WrongAutoAccept Rate,NOT_EVALUATED,Missing safety observations never imply zero.
RepeatedClarification Rate,NOT_EVALUATED,Trace extractor retains already_asked but no accepted repeated-question corpus.
DatasetRoute / LIMIT_vs_RANK Accuracy,PARTIAL,"Three actual local follow-up service observations distinguish display limit, truncated global rank reject/replan and complete local rank."
ScopeExpansion Count,NOT_EVALUATED,No scope-expansion runtime observations in this benchmark; prior scope regression evidence remains separate.
CrossScopeReuse Count,NOT_EVALUATED,No cross-scope pending/dataset runtime observations in this benchmark.
SemanticPlanMatch,NOT_EVALUATED,Full semantic plan ground truth and paired V1/V2 observations remain incomplete.
