blocker_id,classification,blocking_level,status,summary,evidence,next_action,blocks_offline_evaluation_globally,production_gate_only
C-01,CATALOG_BLOCKER,P0,FROZEN_SCOPED_EVALUATION_CATALOG_VERIFIED,Actual 81/[205] capture and 127-fact frozen evaluation projection verified. Native publication remains unproven; it no longer globally gates offline Gold/evaluation/benchmark.,"[""docs/cutover/catalog_identity/live_scope_evidence.json"", ""Oagnet/catalog_generation.py"", ""Oagnet/mysql_tool.py"", ""docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""docs/cutover/v2_relation_paths/catalog_path_evidence.json"", ""docs/cutover/v2_entity_value_sources/catalog_source_evidence.json"", ""docs/cutover/catalog_publication_candidate/live_scope_evidence.json"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Continue offline axis evaluation against the frozen hash; complete native publication before production canary/cutover.,False,True
C-02,CATALOG_BLOCKER,P0,PRODUCTION_PUBLICATION_AND_RECOVERY_GAP,"Native publication absent. DataAnalysis session Redis DB3 is directly reachable; AOF off, save empty, no replicas, deployed volume/restore unproven. Session code capability is not registry-publication or recovery evidence.","[""docs/cutover/catalog_identity/live_scope_evidence.json"", ""docs/cutover/catalog_publication_candidate/closure_report.md"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Keep production recovery/publication as Canary/Cutover gates. Offline evaluation and isolated plan-only shadow do not depend on Redis production recovery.,False,True
C-03,CATALOG_BLOCKER,P0,PROVISIONAL_IDENTITIES_VERIFIED_PER_SHAPE,All 14 entities now have snapshot-verified ID/code candidates and physical constraints. Current catalog flags still differ from the three user-reported declarations. Two relationship endpoints and two metric subjects remain unresolved.,"[""app/semantic_v2/catalog_bridge.py"", ""Oagnet/catalog_publication.py::PinnedCatalog.identity"", ""docs/cutover/v2_scope_bridge/test_delta.json"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Use the reviewed provisional identities per eligible shape; keep exact order/entity grain and unresolved relation paths scoped to affected cases. Continue independent role/mention/turn evaluation.,False,False
C-04,CATALOG_BLOCKER,P0,ACTUAL_SOURCE_AGGREGATE_READ_VERIFIED,"Current governed source connections, 14 physical tables and 29 identity candidates audited with aggregate read-only SQL. Exact/fuzzy value retrieval quality is a separate per-query gap; no native publication claim.","[""docs/cutover/catalog_identity/live_scope_evidence.json"", ""docs/cutover/catalog_identity/source_review.json"", ""docs/cutover/v2_catalog_plans/catalog_capability_evidence.json"", ""docs/cutover/v2_relation_paths/catalog_path_evidence.json"", ""docs/cutover/v2_entity_value_sources/closure_report.md"", ""docs/cutover/v2_source_value_binding/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Continue frozen-catalog evaluation. Validate actual entity-value lookup and result behavior for cases that require source values; do not block unrelated axes.,False,False
X-01,EXTERNAL_BLOCKER,P0,DATA_AGENT_REDIS_RUNTIME_VERIFIED_DEPLOYMENT_RECOVERY_OPEN,"Actual DataAnalysis settings resolve redis mode, DB3, prefix youo:data-analysis:v2 and TTL7200. Read-only persistence/replication/config verified. Deployment storage/restart/restore and deployed trusted caller remain unproven.","[""docs/cutover/catalog_identity/live_scope_evidence.json"", ""docs/cutover/catalog_publication_candidate/live_scope_evidence.json"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Close production deployment trust and recovery before canary/cutover; continue offline evaluation now.,False,True
V-01,CUTOVER_BLOCKER_P0,P0,COLLECTION_EDIT_REPRESENTATION_GAPS_FIXED_SEMANTIC_QUALITY_OPEN,"Full qwen3.7-max parser run: 100 HTTP200, 98 accepted; 29 cases have at least one failed labeled axis. Scoped full-plan probing exposed singleton collection edits and wrong-mention copies of the same canonical handle; guarded representation fixes are verified. The bootstrap now plans correctly; a later model output still fails, so complete transition acceptance remains open.","[""app/semantic_v2/recognition.py"", ""app/semantic_v2/temporal_comparisons.py"", ""docs/cutover/v2_temporal_comparisons/closure_report.md"", ""docs/cutover/v2_temporal_comparisons/temporal_policy_gaps.json"", ""docs/cutover/v2_source_value_binding/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md"", ""docs/cutover/parser_repairs/closure_report.md"", ""docs/cutover/qwen37_benchmark/closure_report.md""]","Capture the remaining typed-output/reference failures without guessing repairs, then complete frozen-catalog multi-turn and canonical evaluation. Preserve failed bootstrap/current-turn denominators and all safety guards.",False,False
V-02,CUTOVER_BLOCKER_P0,P0,FIXED_SOURCE_OFFLINE,"Explicit logical-plan 0.2.2 scope bridge accepts current MODEL_WIDE/explicit scope with optional database, uses pinned catalog membership rather than invented ACLs, and checks state/cache/task/dataset context. Legacy 0.2.1 authorization branch remains enforced.","[""app/semantic_v2/authorized_contract.py"", ""app/semantic_v2/catalog_bridge.py"", ""docs/cutover/v2_scope_bridge/test_delta.json""]",Integrate the autonomous recognition path through ScopedPlanSession; retain current-request and state isolation guards. Runtime adoption remains gated by catalog/evaluation/shadow evidence.,False,False
V-03,CUTOVER_BLOCKER_P1,P1,OPEN,"Actual output aliases, catalog pin, filter/rank policies and bound statement/value receipts are connected offline. The opt-in executor copies/binds values and fingerprints them in snapshot identity. Native source snapshots, collation, period pairing and analytics remain unproven.","[""app/semantic_v2/legacy_adapter.py::assess_legacy_adapter"", ""app/semantic_v2/result_contract.py"", ""docs/cutover/v2_temporal_comparisons/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md""]","Bind actual ASL/SQL output identities and execution receipts to ResultContract, including correct baseline period selection/bucket pairing. Arithmetic consistency alone does not prove source query correctness.",False,False
S-01,SCHEMA_DRIFT,P1,PARTIAL_TYPED_BACKEND_PER_QUERY_SHAPE,"Common/ranked/Boolean plans retain receipts. All entities have provisional observed identities; exact order grain, two relation paths, temporal storage policy and unsupported query shapes remain scoped gaps.","[""app/semantic_v2/legacy_adapter.py"", ""Oagnet/prompt_build.py::SYSTEM_PROMPT"", ""Oagnet/agent.py::_validate_asl_output"", ""docs/cutover/pinned_sql_catalog/closure_report.md"", ""docs/cutover/v2_asl2/closure_report.md"", ""docs/cutover/v2_ranking/closure_report.md"", ""docs/cutover/v2_filters/closure_report.md"", ""docs/cutover/v2_bound_sql/closure_report.md"", ""docs/cutover/pinned_relation_endpoints/closure_report.md"", ""docs/cutover/relation_identity/closure_report.md"", ""docs/cutover/evaluation_gates/closure_report.md""]",Complete loss-aware lowering for supported identity/query-shape combinations; keep unsupported cases explicit without gating turn/role/mention Gold.,False,False
B-01,CUTOVER_BLOCKER_P0,P0,FIXED_SOURCE_OFFLINE,A source-confirmed unique entity name was broadened to a LIKE wildcard predicate; two old Oagnet failures share this root.,"[""Oagnet/agent.py::_normalize_relation_name_filters"", ""Oagnet/tests/test_cutover_binding_safety.py""]",Keep the regression in cutover safety acceptance and verify the deployed service revision before canary.,False,False
