case_id,axis,expected,observed,classification,full_production_bug_status,next_action
S81-001,canonical_metrics,"[""METRIC:sales_total_including_tax"", ""METRIC:sales_total_quantity"", ""METRIC:order_count""]",,OBSERVATION_NOT_AVAILABLE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-006,region_operations,"[""REPLACE""]","[""ADD""]",OPERATION_TRACE_DIFFERS_FROM_EXPECTED_SLOT_ACTION,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-007,metric_surfaces,"[""含税销售总额""]",[],SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-007,region_values,"[""上海市"", ""北京市"", ""江苏省""]","[""江苏省""]",SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-007,target_task,PREVIOUS,NEW,SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-008,region_values,"[""上海市""]","[""北京市""]",SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-008,region_operations,"[""REMOVE""]","[""ADD""]",SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-011,dimension_surfaces,"[""医院"", ""城市""]","[""城市""]",SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-011,dimension_operations,"[""ADD""]","[""REPLACE""]",SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-013,dimension_operations,"[""REMOVE""]",[],OPERATION_TRACE_DIFFERS_FROM_EXPECTED_SLOT_ACTION,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-014,time_relation,ABSENT,SAME_AS_PREVIOUS,SERVICE_BOUNDARY_STATE_DIFFERENCE,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
S81-017,target_task,HISTORY:0,UNRESOLVED,HISTORICAL_SELECTOR_NOT_EXECUTED_AT_RULE_SEAM,UNKNOWN_NEEDS_FULL_ORCHESTRATOR_EVIDENCE,Retain labels; compare the complete V1/V2 state path once corresponding observations exist. Do not patch frozen V1 from a partial rule-service result.
