case_id,corpus,status,current_utterance,history,first_divergence_stage,root_cause_id,severity,cutover_blocker,confidence,reason,execution_boundary,failed_turn_index,actual_rejection,observed_axes,downstream_effect,evidence,evidence_hash,complete_semantic_gold_evaluable,full_plan_accuracy,retained_missing_labels
G81-001,100_PARSER_AXIS_GOLD,FAIL,列出产品线名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",1912826ba3cd9343bb333052a1aa3bea1aa509dfd16b0f4d1c77998ca880d255,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-002,100_PARSER_AXIS_GOLD,FAIL,列出科室名单,[],MENTION_BOUNDARY,RC-BOUNDARY-OBJECT,P1,True,PROVEN,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": false}","[{""stage"": ""QUERY_SHAPE"", ""evidence"": ""Recorded parser axis mismatch"", ""axis"": ""query_shape"", ""causal_order"": ""Co-observed proxy; not an independently counted production defect""}]","[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",975696fd089f95abd226c4ef372e99b2559f96e6c04c1f4eb3ee307191ce1f11,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-003,100_PARSER_AXIS_GOLD,FAIL,列出城市名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",0580571cc9b88987e9fa327ac6e8bd645c3c98ad36060298c0382ae1c6da2d20,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-004,100_PARSER_AXIS_GOLD,FAIL,列出商品科室关联记录,[],MENTION_BOUNDARY,RC-BOUNDARY-OBJECT,P1,True,PROVEN,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": false}","[{""stage"": ""QUERY_SHAPE"", ""evidence"": ""Recorded parser axis mismatch"", ""axis"": ""query_shape"", ""causal_order"": ""Co-observed proxy; not an independently counted production defect""}]","[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",2b3907a3568bc191f549893c8f715f61fe265880b3618ba9a8228951617c0e32,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-005,100_PARSER_AXIS_GOLD,FAIL,列出商品名单,[],MENTION_BOUNDARY,RC-BOUNDARY-OBJECT,P1,True,PROVEN,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": false}","[{""stage"": ""QUERY_SHAPE"", ""evidence"": ""Recorded parser axis mismatch"", ""axis"": ""query_shape"", ""causal_order"": ""Co-observed proxy; not an independently counted production defect""}]","[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",2b149f478529938823272a5263c9bdb7a7ad50c16c028daa8c4a89d4813164c8,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-006,100_PARSER_AXIS_GOLD,FAIL,列出销售订单记录,[],MENTION_BOUNDARY,RC-BOUNDARY-OBJECT,P1,True,PROVEN,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": true, ""turn_relation"": true, ""mentions"": false}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",8ae60fb2a2014c5b20a18a23a2fe106ecc3104339dd94a2be37301311c5f2def,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-007,100_PARSER_AXIS_GOLD,FAIL,列出经销商名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",c06289110f353a29aa721f7eadbf562e00d81a2b154e1dbd1e90007b2da526a9,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-008,100_PARSER_AXIS_GOLD,FAIL,列出生产厂家名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",1051a3e929e644300bb2b51c116844916c227aef6e7490fbe255a50fdc4a0a7f,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-009,100_PARSER_AXIS_GOLD,FAIL,列出销售项目名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",89c6798db3bbc9f7bc9d62c64d5d7e99e345746ce1bb4afa5c9b67b53edb2957,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
G81-010,100_PARSER_AXIS_GOLD,FAIL,列出销售公司名单,[],QUERY_SHAPE,RC-SHAPE-LIST,P1,True,PROVEN,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,CURRENT_TURN_PARSER_ONLY,,,"{""query_shape"": false, ""turn_relation"": true, ""mentions"": true}",[],"[""docs/v2_cutover/transition_runner/parser_v8_predictions.jsonl"", ""docs/cutover/evaluation_gates/gold_axes.jsonl"", ""tools/cutover/run_parser_benchmark.py:25""]",4ec3e7c391ef39804d9e479ef5e830c9becbfd7f120a78db1b2cf6f33b4e6fda,False,NOT_ESTABLISHED,"[""SQL"", ""source_result"", ""canonical_binding"", ""complete_task_state""]"
