failure_id,test_nodeids,temporal_class,evidence_status,root_cause_class,clock,repeatability,decision,evidence
pytest-02,"[""tests/test_clarification_flow.py::test_natural_date_reply_completes_the_existing_metric_request""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-02-run-1.json"", ""docs/phase0b/independent_runs/failure-02-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-03,"[""tests/test_clarification_quality.py::test_only_ambiguities_for_actually_missing_slots_are_kept_and_deduplicated""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-03-run-1.json"", ""docs/phase0b/independent_runs/failure-03-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-04,"[""tests/test_clarification_quality.py::test_model_metric_must_be_grounded_in_the_users_words""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-04-run-1.json"", ""docs/phase0b/independent_runs/failure-04-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-07,"[""tests/test_forecast_readiness.py::test_question_preflight_requests_target_and_history_when_both_missing""]",,UNKNOWN_POLICY_NOT_PROVEN_BUG,UNKNOWN_NEEDS_EVIDENCE,2026-09-07,DETERMINISTIC,UNKNOWN_NEEDS_EVIDENCE,"[""docs/phase0b/independent_runs/failure-07-run-1.json"", ""docs/phase0b/independent_runs/failure-07-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-11,"[""tests/test_pending_execution_transition.py::test_closed_form_pending_reply_skips_async_intent_model_path""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-11-run-1.json"", ""docs/phase0b/independent_runs/failure-11-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-12,"[""tests/test_pending_execution_transition.py::test_filled_slot_can_transition_to_asl_clarification_then_complete""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-12-run-1.json"", ""docs/phase0b/independent_runs/failure-12-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-13,"[""tests/test_pending_execution_transition.py::test_terminal_dependency_failure_clears_resolved_pending_state""]",,UNKNOWN_POLICY_NOT_PROVEN_BUG,UNKNOWN_NEEDS_EVIDENCE,2026-09-07,DETERMINISTIC,UNKNOWN_NEEDS_EVIDENCE,"[""docs/phase0b/independent_runs/failure-13-run-1.json"", ""docs/phase0b/independent_runs/failure-13-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-14,"[""tests/test_pending_execution_transition.py::test_corrected_pending_request_sends_no_negated_metric_to_retrieval""]",,UNKNOWN_POLICY_NOT_PROVEN_BUG,UNKNOWN_NEEDS_EVIDENCE,2026-09-07,DETERMINISTIC,UNKNOWN_NEEDS_EVIDENCE,"[""docs/phase0b/independent_runs/failure-14-run-1.json"", ""docs/phase0b/independent_runs/failure-14-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-17,"[""tests/test_semantic_clarification_session_recovery.py::test_explicit_day_range_resolves_report_time_without_model_reinterpretation""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-17-run-1.json"", ""docs/phase0b/independent_runs/failure-17-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
pytest-18,"[""tests/test_semantic_clarification_session_recovery.py::test_three_turn_subject_clarification_recovers_pending_request[False]""]",STALE_TEST,CONFIRMED_STALE,STALE_TEST,2026-09-07,DETERMINISTIC,STALE_EXPECTATION_RETAINED,"[""docs/phase0b/independent_runs/failure-18-run-1.json"", ""docs/phase0b/independent_runs/failure-18-run-2.json"", ""Current requirement: safe deterministic defaults; tests/test_intent.py default-time/all-time stable regressions; app/intent/classifier.py:_apply_default_time_range""]"
