root_cause_id,first_divergence_stage,case_ids,case_count,severity,kind,cutover_blocker,reason,confidence,expected_primary_cases_unblocked,whole_case_passes_promised,risk,observed_silent_wrong_query
RC-BOUNDARY-OBJECT,MENTION_BOUNDARY,"[""G81-002"", ""G81-004"", ""G81-005"", ""G81-006"", ""G81-013"", ""G81-094""]",6,P1,SEMANTIC,True,Current semantic spans absorb list/record/relation cue text into the entity object; exact catalog surface is no longer a separate mention.,PROVEN,6,0,Observed component failure or safe rejection; no production SQL executed,False
RC-BOUNDARY-METRIC,MENTION_BOUNDARY,"[""G81-029"", ""G81-030"", ""G81-033"", ""G81-034""]",4,P0,SEMANTIC,True,One exact governed compound metric is split into entity/filter/measure pieces. Current recovery deliberately requires contiguous compatible pieces; these captures do not satisfy it.,PROVEN,4,0,Potential silent metric/formula substitution if downstream choices are accepted. Current parser-only results do not prove an executed wrong query.,False
RC-SHAPE-LIST,QUERY_SHAPE,"[""G81-001"", ""G81-003"", ""G81-007"", ""G81-008"", ""G81-009"", ""G81-010"", ""G81-011"", ""G81-012"", ""G81-014""]",9,P1,SEMANTIC,True,Plain entity name/list requests predict RELATION_LIST without a stated relationship instead of DETAIL_ROWS. Span-failed list cases are counted only under their earlier boundary cause.,PROVEN,9,0,Observed component failure or safe rejection; no production SQL executed,False
RC-SHAPE-LINEAGE,QUERY_SHAPE,"[""G81-093""]",1,P1,SEMANTIC,True,The explicit field-source/table question predicts METADATA_LOOKUP instead of LINEAGE_GRAPH; target mention is present.,PROVEN,1,0,Observed component failure or safe rejection; no production SQL executed,False
RC-OP-ATOMIC,TASK_OPERATION,"[""G81-080"", ""S81-012""]",2,P0,SEMANTIC,True,Atomic CLEAR/REPLACE intent is represented as REMOVE or REMOVE+ADD. S81-012 has a correct REPLACE draft conflicting with earlier parse markers; the native guard rejects.,PROVEN,2,0,"Potential lost clear barrier or wrong collection mutation; current S81-012 is safely rejected, G81-080 is parser-only.",False
RC-EDIT-COVERAGE,TASK_OPERATION,"[""S81-006"", ""S81-007"", ""S81-008""]",3,P1,SEMANTIC,True,"The draft declares source-value requests but emits no filter effect using them, despite current filter evidence. The request-use coverage guard rejects before source lookup.",PROVEN,3,0,Observed component failure or safe rejection; no production SQL executed,False
RC-REFERENCE-AS-EDIT,TASK_OPERATION,"[""S81-017""]",1,P0,SEMANTIC,True,The historical task-identifying metric mention emits REPLACE instead of only identifying the historical task. The later incorrect GROUPED_AGGREGATE is a downstream rejection.,HIGH_CONFIDENCE,1,0,"This recorded target has only the same metric, making REPLACE idempotent. Silent deletion on a multi-metric target is a risk, not an observed production result; needs a labeled contrast.",False
RC-VALUE-CANDIDATES,ENTITY_VALUE_GROUNDING,"[""S81-004"", ""S81-005"", ""S81-009"", ""S81-010"", ""S81-015""]",5,P1,SEMANTIC,True,Selected city-name field has no exact abbreviation match and exceeds bounded enumeration. No accepted scoped approximate-value candidate path is available. Choosing province is not declared business truth for these cases.,PROVEN,5,0,Observed component failure or safe rejection; no production SQL executed,False
RC-EVAL-TURN-PROXY,EVALUATOR_GAP,"[""G81-071"", ""G81-073"", ""G81-082"", ""G81-084"", ""G81-090""]",5,P2,EVALUATION,True,A context-free parser signal projection is scored as final turn resolution. normalize omits the native REMOVE/CLEAR dependency rule and never executes TurnResolver/current state. Full raw parses are not retained in this100-case result; production first divergence is unproven.,PROVEN,5,0,Observed component failure or safe rejection; no production SQL executed,False
RC-EVAL-DATASET-PROXY,EVALUATOR_GAP,"[""G81-091""]",1,P2,EVALUATION,True,Current utterance parser returns no query shape for display-limit continuation; the Gold expects a dataset route requiring existing dataset/state that this parser runner does not execute.,PROVEN,1,0,Observed component failure or safe rejection; no production SQL executed,False
RC-FIXTURE-STATE-ENTRY,FIXTURE_GAP,"[""S81-016"", ""S81-018"", ""S81-019"", ""S81-020""]",4,P2,EVALUATION,True,One explicit runner branch skips any initial_pending or dataset case. No scoped initial-state fixture is installed at the same production semantic entry. Pending and Dataset are two fixture variants of this shared entry gap.,PROVEN,4,0,Observed component failure or safe rejection; no production SQL executed,False
